name,source,gender,wikidata,type
"Chaussée de Dinant",wikidata,,Q108247,way
"Chaussée de Louvain",wikidata,,Q118958,way
"Chaussée de Louvain - Chaussée de Namur",wikidata,,Q118958,way
"Rue du Pont de Louvain",wikidata,,Q118958,way
(Privé),,,,way
"Accès RAVeL",,,,way
"Al'Tchôde Ewe",,,,way
"Allée Campagne du Marronnier",,,,way
"Allée Chant des Oiseaux",,,,way
"Allée Saint-Vincent",,,,way
"Allée Verte",,,,way
"Allée de Fribourg",,,,way
"Allée de Hulpia",,,,way
"Allée de Menton",,,,way
"Allée de Néris",,,,way
"Allée de Tertibu",,,,way
"Allée de la Brasserie",,,,way
"Allée de la Cerisaie",,,,way
"Allée de la Closerie",,,,way
"Allée de la Grande Taille",,,,way
"Allée des Alouettes",,,,way
"Allée des Bergeronettes",,,,way
"Allée des Cerisiers",,,,way
"Allée des Chanterelles",,,,way
"Allée des Fauvettes",,,,way
"Allée des Fleurs",,,,way
"Allée des Glycines",,,,way
"Allée des Mésanges",,,,way
"Allée des Ormes",,,,way
"Allée des Piverts",,,,way
"Allée des Primeroses",,,,way
"Allée des Rhododendrons",,,,way
"Allée des Roitelets",,,,way
"Allée des Rosiers",,,,way
"Allée du Hibou",,,,way
"Allée du Moulin à Vent",,,,way
"Allée du Néviau",,,,way
"Allée du Souvenir",,,,way
"Ancien Rivage",,,,way
"Ancien pont du tram",,,,way
"Au Ritchî",,,,way
"Autoroute de Wallonie",,,,way
"Avenue Albert 1er",,,,way
"Avenue Antoine Woitrin",,,,way
"Avenue Arthur Procès",,,,way
"Avenue Baron Fallon",,,,way
"Avenue Baron Louis Huart",,,,way
"Avenue Baron de Lhoneux",,,,way
"Avenue Baron de Moreau",,,,way
"Avenue Bel Air",,,,way
"Avenue Blanche de Namur",,,,way
"Avenue Cardinal Mercier",,,,way
"Avenue Charles Capelle",,,,way
"Avenue Comte de Smet de Nayer",,,,way
"Avenue Constant de Montpellier",,,,way
"Avenue Félicien Rops",,,,way
"Avenue Fernand Golenvaux",,,,way
"Avenue Gouverneur Bovesse",,,,way
"Avenue Jean Delhaye",,,,way
"Avenue Jean Ier",,,,way
"Avenue Jean Pochet",,,,way
"Avenue Joseph Abras",,,,way
"Avenue Léopold II",,,,way
"Avenue Marcel Gourdin",,,,way
"Avenue Marie d'Artois",,,,way
"Avenue Maurice des Ombiaux",,,,way
"Avenue Parc d'Amée",,,,way
"Avenue Prince de Liège",,,,way
"Avenue Reine Elisabeth",,,,way
"Avenue Sart Paradis",,,,way
"Avenue Sergent Vrithoff",,,,way
"Avenue Vauban",,,,way
"Avenue d'Ecolys",,,,way
"Avenue de Celles",,,,way
"Avenue de Falichamp",,,,way
"Avenue de Luxembourg",,,,way
"Avenue de Marlagne",,,,way
"Avenue de Stassart",,,,way
"Avenue de Tabora",,,,way
"Avenue de l'Epine Vinette",,,,way
"Avenue de l'Ermitage",,,,way
"Avenue de la Citadelle",,,,way
"Avenue de la Closière",,,,way
"Avenue de la Dame",,,,way
"Avenue de la Gare",,,,way
"Avenue de la Lavande",,,,way
"Avenue de la Pairelle",,,,way
"Avenue de la Plante",,,,way
"Avenue de la Redoute",,,,way
"Avenue de la Sauge",,,,way
"Avenue de la Vecquée",,,,way
"Avenue des Acacias",,,,way
"Avenue des Aduatiques",,,,way
"Avenue des Champs Élysées",,,,way
"Avenue des Combattants",,,,way
"Avenue des Croix du Feu",,,,way
"Avenue des Cytises",,,,way
"Avenue des Dessus de Lives",,,,way
"Avenue des Prisonniers",,,,way
"Avenue des Trieux",,,,way
"Avenue des Vieux Murs",,,,way
"Avenue des Vignes",,,,way
"Avenue du Bois Carré",,,,way
"Avenue du Bois Williame",,,,way
"Avenue du Bois l'Evêque",,,,way
"Avenue du Bon Air",,,,way
"Avenue du Bourgmestre Jean Materne",,,,way
"Avenue du Camp",,,,way
"Avenue du Champeau",,,,way
"Avenue du Château de Beez",,,,way
"Avenue du Milieu du Monde",,,,way
"Avenue du Panorama",,,,way
"Avenue du Parc",,,,way
"Avenue du Parc d'Andoy",,,,way
"Avenue du Parc de Wépion",,,,way
"Avenue du Petit Sart",,,,way
"Avenue du Printemps",,,,way
"Avenue du Romarin",,,,way
"Avenue du Transvaal",,,,way
"Avenue du Val Saint-Georges",,,,way
"Avenue du Val d'Or",,,,way
"Barrière d'En-Bas",,,,way
"Barrière d'En-Haut",,,,way
"Barrière de Bayet",,,,way
Basse-Fontaine,,,,way
Basse-Montagne,,,,way
Basses-Calenges,,,,way
"Batys Chapelle",,,,way
"Batys de Soye",,,,way
"Beau Champ",,,,way
Berlandi,,,,way
"Bien Monseu",,,,way
"Bois Saint Antoine",,,,way
"Bois d'Repiat",,,,way
"Bois de Ban",,,,way
"Bois du Chetois",,,,way
"Boulevard Cauchy",,,,way
"Boulevard Ernest Mélot",,,,way
"Boulevard Isabelle Brunell",,,,way
"Boulevard d'Herbatte",,,,way
"Boulevard de Chiny",,,,way
"Boulevard de Merckem",,,,way
"Boulevard de la Meuse",,,,way
"Boulevard du Nord",,,,way
Champ-Ha,,,,way
"Château d'Andoy",,,,way
"Chaussée Nationale 4",,,,way
"Chaussée de Charleroi",,,,way
"Chaussée de Liège",,,,way
"Chaussée de Marche",,,,way
"Chaussée de Namur",,,,way
"Chaussée de Nivelles",,,,way
"Chaussée de Perwez",,,,way
"Chaussée de Waterloo",,,,way
"Chemin 10",,,,way
"Chemin 19",,,,way
"Chemin 20",,,,way
"Chemin 21",,,,way
"Chemin 32",,,,way
"Chemin 33",,,,way
"Chemin 72",,,,way
"Chemin Bérenger",,,,way
"Chemin Berlacomine",,,,way
"Chemin Bouillot / GR 126",,,,way
"Chemin Fernand Severin - Chemin 4",,,,way
"Chemin Gribousine",,,,way
"Chemin Jauquet",,,,way
"Chemin Notre-Dame au Bois / GR 126",,,,way
"Chemin Pierreux",,,,way
"Chemin Prunelliers-Ch-Purnalîs",,,,way
"Chemin Racine",,,,way
"Chemin Romagnesi",,,,way
"Chemin Vas t'y frotte",,,,way
"Chemin Vert",,,,way
"Chemin Vicinal",,,,way
"Chemin à Pani",,,,way
"Chemin aux Tables",,,,way
"Chemin d'Auvelais",,,,way
"Chemin d'Erpent",,,,way
"Chemin d'Hautebise",,,,way
"Chemin de Beauloye",,,,way
"Chemin de Bierlinfosse",,,,way
"Chemin de Boninne",,,,way
"Chemin de Coquelet",,,,way
"Chemin de Corbeaufosse",,,,way
"Chemin de Djétronri",,,,way
"Chemin de Fleurus",,,,way
"Chemin de Halage",,,,way
"Chemin de Malpaire",,,,way
"Chemin de Maulenne",,,,way
"Chemin de Maupelin",,,,way
"Chemin de Morivaux",,,,way
"Chemin de Moustier",,,,way
"Chemin de Plomcot",,,,way
"Chemin de Potisseau",,,,way
"Chemin de Reumont",,,,way
"Chemin de Saint Héribert",,,,way
"Chemin de Sainte-Anne",,,,way
"Chemin de Serimont",,,,way
"Chemin de Wépion",,,,way
"Chemin de Winant",,,,way
"Chemin de l'Atelier",,,,way
"Chemin de l'Épervier",,,,way
"Chemin de l'Espinois",,,,way
"Chemin de la Caracole",,,,way
"Chemin de la Citadelle",,,,way
"Chemin de la Clairière",,,,way
"Chemin de la Cloche",,,,way
"Chemin de la Corniche",,,,way
"Chemin de la Ferme",,,,way
"Chemin de la Foliette",,,,way
"Chemin de la Gatte d'Or",,,,way
"Chemin de la Huche",,,,way
"Chemin de la Magne",,,,way
"Chemin de la Maie - È l'Maî",,,,way
"Chemin de la Meuse",,,,way
"Chemin de la Noire Terre",,,,way
"Chemin de la Plaine",,,,way
"Chemin de la Pompe",,,,way
"Chemin de la Roche",,,,way
"Chemin de la Roseraie",,,,way
"Chemin de la Sablonnière",,,,way
"Chemin de la Taille au Vivier",,,,way
"Chemin de la Terre Bocquia",,,,way
"Chemin de la Traverse",,,,way
"Chemin de la Vieille Sambre",,,,way
"Chemin de la ferme Focroule",,,,way
"Chemin des Accourres",,,,way
"Chemin des Aides",,,,way
"Chemin des Ajoncs",,,,way
"Chemin des Alaudes",,,,way
"Chemin des Amandiers",,,,way
"Chemin des Archiducs",,,,way
"Chemin des Bancs",,,,way
"Chemin des Bateliers",,,,way
"Chemin des Batys",,,,way
"Chemin des Blés",,,,way
"Chemin des Boeufs",,,,way
"Chemin des Bouvreuils",,,,way
"Chemin des Burnes",,,,way
"Chemin des Campagnes",,,,way
"Chemin des Collets",,,,way
"Chemin des Comognes",,,,way
"Chemin des Coteaux",,,,way
"Chemin des Deux Pays",,,,way
"Chemin des Deux-Pays",,,,way
"Chemin des Écoliers",,,,way
"Chemin des Étangs",,,,way
"Chemin des Grasses Oies",,,,way
"Chemin des Italiens / GR 126",,,,way
"Chemin des Loriots",,,,way
"Chemin des Marronniers",,,,way
"Chemin des Matines",,,,way
"Chemin des Mélèzes",,,,way
"Chemin des Merisiers",,,,way
"Chemin des Mines",,,,way
"Chemin des Pêcheurs",,,,way
"Chemin des Pierres",,,,way
"Chemin des Ranchauds",,,,way
"Chemin des Renards",,,,way
"Chemin des Ritènes",,,,way
"Chemin des Sauverdias",,,,way
"Chemin des Sources",,,,way
"Chemin des Trois Fortins",,,,way
"Chemin des Vergers",,,,way
"Chemin des Vignerons",,,,way
"Chemin des Vignobles",,,,way
"Chemin des heureux",,,,way
"Chemin du Beau Vallon",,,,way
"Chemin du Bienvenu",,,,way
"Chemin du Blanc Batys",,,,way
"Chemin du Bois",,,,way
"Chemin du Bois Cayet",,,,way
"Chemin du Bois de Gazia",,,,way
"Chemin du Bois du Curé",,,,way
"Chemin du Bois du Duc",,,,way
"Chemin du Bonnier",,,,way
"Chemin du Cabaca",,,,way
"Chemin du Chêne Jacqueline",,,,way
"Chemin du Commandant L’Entrée",,,,way
"Chemin du Cratère",,,,way
"Chemin du Foncier",,,,way
"Chemin du Fontillois",,,,way
"Chemin du Fort d'Orange",,,,way
"Chemin du Fort de Malonne",,,,way
"Chemin du Fort de Marchovelette",,,,way
"Chemin du Fort de Suarlée",,,,way
"Chemin du Four",,,,way
"Chemin du Gerbier",,,,way
